GridID,NextDownID,Length
504397,-1,8.601
477124,477141,0.241
477140,477141,0.4
476888,477287,3.021
477141,477287,2.373
477287,477309,0.383
477324,477309,1.649
477081,477310,1.666
477309,477310,0.1
477403,477324,0.824
477426,477324,1.141
477354,477403,0.566
477425,477403,0.524
477256,477405,1.207
477371,477405,1.607
477424,477425,0.724
477494,477425,0.283
477405,477442,0.283
477443,477442,0.807
477404,477463,0.3
477442,477463,0.541
477288,477518,2.397
477463,477518,0.524
477310,477574,2.214
477573,477574,0.724
477518,477784,2.156
477574,477784,1.99
477517,477797,2.697
477763,477797,1.124
477796,477848,2.29
477828,477848,0.1
477699,477868,2.673
477784,477868,0.583
477783,477912,0.883
477848,477912,0.766
477898,477913,0.583
477942,477913,0.724
477797,477926,1.149
477925,477926,0.1
477897,477942,1.007
477991,477942,0.3
477882,477943,0.666
477944,477943,1.4
477868,478026,1.107
477913,478026,1.49
477926,478043,1.349
478005,478043,0.2
477943,478084,1.107
478006,478084,1.007
477912,478101,1.224
478102,478101,1.283
478084,478180,0.807
478152,478180,0.2
478101,478201,0.766
478179,478201,0.341
478026,478203,1.324
478202,478203,1.2
478204,478218,0.741
478228,478218,1.266
478180,478227,0.3
478218,478227,0.541
478203,478342,0.983
478227,478342,1.049
478200,478398,1.573
478288,478398,0.683
478342,478442,0.541
478378,478442,3.031
478441,478442,0.3
478398,478463,0.383
478412,478463,0.2
478042,478464,3.263
478132,478464,2.107
478440,478522,0.3
478490,478522,0.241
478332,478534,3.697
478495,478534,1.607
478289,478565,1.649
478533,478565,0.241
478201,478610,2.756
478376,478610,2.007
478442,478643,1.224
478550,478643,0.824
478463,478665,1.407
478522,478665,0.983
478612,478695,0.5
478696,478695,4.78
478694,478727,1.949
478739,478727,1.849
478665,478728,0.541
478727,478728,0.941
478534,478730,1.449
478646,478730,1.873
478972,478739,0.441
478996,478739,0.783
478728,478740,2.214
478750,478740,1.249
478464,478741,2.214
478578,478741,1.166
478730,478743,0.1
478742,478743,1.566
478905,478750,4.538
478906,478750,0.924
478741,478763,0.2
478777,478763,1.507
478377,478764,2.531
478779,478764,0.583
478625,478777,1.149
478740,478777,0.941
478491,478778,1.124
478611,478778,0.341
478778,478779,1.831
478797,478779,0.783
478643,478780,1.024
478695,478780,3.097
478832,478797,0.541
478844,478797,0.3
478043,478798,6.601
478780,478798,0.141
478610,478832,2.073
478864,478832,1.166
478626,478834,2.097
478785,478834,0.3
478565,478845,2.414
478764,478845,0.983
478763,478864,1.349
478863,478864,0.783
479167,478865,0.949
479168,478865,0.624
478845,478866,0.1
478865,478866,2.38
478834,478888,0.524
478889,478888,2.049
478925,478906,1.024
478937,478906,2.731
478752,478909,2.173
478908,478909,1.707
478596,478912,2.207
478928,478912,0.741
478871,478927,0.807
478954,478927,2.956
478731,478928,1.507
478927,478928,0.641
479290,478937,0.3
479307,478937,0.424
479308,478937,1.024
478888,478953,0.566
478974,478953,1.814
478538,478955,3.173
478912,478955,0.524
478909,478975,0.666
478938,478975,0.341
479120,478996,1.524
479121,478996,1.041
478866,478998,1.049
478997,478998,1.149
478743,479002,1.683
478907,479002,1.607
478892,479004,0.766
478977,479004,0.241
478913,479005,0.624
478956,479005,0.983
478955,479023,0.341
479022,479023,1.49
478975,479046,0.341
479045,479046,1.183
478753,479064,2.538
479005,479064,0.424
478880,479090,1.807
479024,479090,1.966
478998,479107,1.949
479122,479107,2.856
478976,479110,0.741
479125,479110,0.541
479323,479120,1.831
479324,479120,0.683
479373,479122,0.1
479386,479122,0.683
479019,479124,2.107
479046,479124,0.866
479109,479125,1.607
479142,479125,0.141
479023,479128,0.907
479127,479128,0.841
479025,479129,1.907
479064,479129,0.566
478957,479130,1.483
479091,479130,0.283
479107,479139,0.483
479151,479139,1.849
478801,479154,2.431
479153,479154,1.807
479248,479167,1.241
479263,479167,0.924
479021,479184,1.083
479155,479184,0.283
478953,479197,2.297
479002,479197,1.566
479185,479204,1.824
479221,479204,0.766
479140,479218,2.838
479235,479218,1.107
479139,479232,1.549
479249,479232,1.083
478798,479233,3.073
479232,479233,0.983
478846,479234,3.921
479218,479234,1.507
479154,479237,0.724
479236,479237,0.766
479237,479238,0.4
479250,479238,2.073
479090,479239,1.224
479219,479239,1.507
479387,479249,0.524
479388,479249,0.241
479204,479251,1.024
479266,479251,0.583
479371,479263,0.924
479372,479263,0.2
478973,479264,5.304
479233,479264,0.441
479197,479282,0.683
479281,479282,0.1
479124,479292,1.283
479291,479292,3.207
479047,479293,2.938
479239,479293,1.066
479126,479310,3.421
479184,479310,0.9
479129,479312,1.466
479311,479312,7.618
479525,479323,1.766
479553,479323,0.483
479234,479325,3.131
479358,479325,0.241
479310,479345,0.241
479329,479345,1.124
479130,479346,1.956
479220,479346,1.249
479240,479347,1.007
479294,479347,0.3
479183,479354,2.514
479264,479354,1.424
479375,479359,0.341
479407,479359,1.107
479110,479362,3.18
479345,479362,0.283
479004,479363,0.941
479128,479363,0.783
479405,479372,0.907
479406,479372,1.69
479141,479375,1.824
479238,479375,1.331
479491,479386,0.566
479492,479386,0.2
479417,479388,1.549
479418,479388,0.383
479325,479389,2.807
479354,479389,0.524
479359,479390,1.407
479420,479390,0.8
479328,479392,0.583
479355,479392,1.724
479526,479405,1.814
479527,479405,1.524
479292,479408,1.049
479309,479408,3.031
479630,479417,0.341
479631,479417,0.766
479362,479421,0.483
479508,479421,2.431
479346,479422,0.724
479423,479422,0.341
479251,479425,2.107
479426,479425,0.1
479265,479455,1.831
479419,479455,0.483
479361,479458,1.149
479421,479458,0.283
479293,479460,1.266
479363,479460,5.394
479461,479460,3.797
479389,479473,0.741
479472,479473,1.607
479392,479475,0.624
479457,479475,0.541
479528,479492,1.249
479529,479492,0.766
479282,479493,1.607
479390,479493,1.507
479360,479494,1.249
479495,479494,1.241
479391,479495,1.007
479502,479495,0.241
479476,479496,0.741
479543,479496,1.024
479408,479504,0.641
479505,479504,0.1
479442,479507,0.483
479506,479507,0.783
479509,479508,0.441
479541,479508,0.866
479459,479509,0.341
479510,479509,0.1
479312,479511,1.914
479422,479511,0.807
479650,479526,0.941
479684,479526,0.766
479750,479527,0.1
479751,479527,0.141
479503,479530,0.141
479504,479530,0.141
479424,479544,1.024
479425,479544,0.907
479621,479553,0.1
479622,479553,0.424
479507,479557,0.724
479568,479557,0.583
479473,479563,0.883
479584,479563,0.483
479493,479567,0.583
479566,479567,0.3
479531,479569,0.341
479557,479569,0.641
479356,479570,2.507
479542,479570,0.483
479477,479572,1.049
479478,479572,0.724
479554,479583,0.7
479563,479583,0.141
479455,479585,0.883
479565,479585,0.241
479474,479586,1.89
479555,479586,0.283
479458,479587,0.924
479569,479587,1.341
479203,479588,3.646
479347,479588,1.907
479494,479606,1.283
479567,479606,0.383
479456,479607,0.941
479556,479607,0.724
479544,479608,0.4
479589,479608,0.841
479348,479610,1.949
479545,479610,0.824
479374,479634,2.173
479633,479634,0.2
479585,479637,0.3
479636,479637,0.2
479623,479641,1.207
479661,479641,2.231
479496,479642,2.231
479641,479642,0.741
479583,479652,0.524
479651,479652,2.656
479564,479653,0.5
479635,479653,0.141
479475,479655,1.349
479672,479655,1.907
479587,479657,0.441
479656,479657,1.107
479607,479670,0.483
479685,479670,0.566
479639,479672,0.283
479673,479672,0.1
479642,479688,0.424
479687,479688,0.2
479634,479692,0.524
